Indicateur,Valeur
Primes pures acquises (EUR),59836744
Primes commerciales acquises (EUR),78535727
Charge sinistres (EUR),59909216
Ratio S/P,76.3%
Ratio combine,96.3%
Marge technique attendue,3.7%
