Annee_origine,Paye_a_ce_jour,Charge_ultime,Provision_CL
1,3901,3901,0
2,5339,5434,95
3,4909,5379,470
4,4588,5298,710
5,3873,4858,985
6,3692,5111,1419
7,3483,5661,2178
8,2864,6785,3920
9,1363,5642,4279
10,344,4970,4626
