Mesure,Brut,Net_de_reassurance,Reduction
Charge moyenne (EUR),59877076,50007396,16.5%
Ecart-type (EUR),4803827,3173911,33.9%
"VaR 99,5% (EUR)",74045892,60616359,18.1%
"Capital SCR proxy (VaR99,5 - moyenne)",14168816,10608963,25.1%
